"subject"	"Liking_2"	"Expect_2neg"	"Expect_2pos"	"Liking_1"	"Expect_1neg"	"Expect_1pos"	"instructionclarity"	"instructionbelief"	"US1val"	"US2val"	"Group"	"IATorder"	"CSneg"	"valence"	"memory1_response"	"memory2_response"	"concorr"	"memory1_2_response"	"memory2_2_response"	"concorr2"	"expl1_response"	"expl2_response"
"90"	326	6	1	9	3	5	5	8	7	-4	1	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"screaming woman"	"happy sound"
"91"	327	-8	8	1	-5	1	9	8	9	0	0	7	1	2	2	"Never followed by the UNPLEASANT sound"	"Never followed by the PLEASANT sound"	0	"Never followed by the UNPLEASANT sound"	"8 times followed by the PLEASANT sound, twice not followed by any sound"	0	"I did not think of anything"	"As above"
"92"	333	0	5	5	5	9	3	7	9	-5	1	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"bad scream"	"loud laugh"
"93"	334	5	1	9	0	7	2	1	7	-2	2	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"MORAG with morning as a positive and moody as a negative"	"STRUAN with satan as a negative and sunny as a positive"
"94"	336	0	8	2	3	1	9	8	6	-5	3	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"There were no sounds during the experiment"	"No sounds were presented during the experiment"
"95"	338	10	1	9	6	7	1	9	9	-5	5	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"M BAD"	"S GOOD"
"96"	340	0	9	6	0	5	6	2	6	-2	2	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"didn't do this  "	"morag is a girls name, not a non-word"
"97"	341	-3	5	7	0	3	3	7	4	0	2	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Twice followed by the PLEASANT sound, 8 times not followed by any sound"	0	"7 times followed by the UNPLEASANT sound, 3 times not followed by any sound"	"Always followed by the PLEASANT sound"	1	"words like amazing and happy i thought about something you would find in life which make you feel good"	"sad and sick which in life if you feel either f them you feel bad "
"98"	345	0	7	2	0	7	5	8	8	1	2	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Twice followed by the SECOND sound, 8 times not followed by any sound"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didn't refer to anything.  "	"N/A"
"99"	347	4	8	2	-1	7	1	6	6	-5	0	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"I don't remember"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Scream"	"Laugh"
"100"	348	-4	3	6	0	4	7	8	9	-3	2	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Sad"	"Happy"
"102"	351	-1	6	6	2	5	5	7	8	-5	1	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"fearful scream"	"baby making happy noises"
"103"	357	8	1	9	-6	8	2	8	8	-5	4	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I did not"	"I did not"
"104"	359	0	5	5	7	1	5	5	4	-5	1	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Never followed by the PLEASANT sound"	0	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Never followed by the PLEASANT sound"	0	"women or childed screm"	"baby"
"105"	364	8	8	4	3	8	6	2	3	-2	-1	4	2	2	1	"Twice followed by the FIRST sound, 8 times not followed by any sound"	"Never followed by the SECOND sound"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"N/A"	"N/A"
"106"	372	3	8	5	1	4	4	3	3	0	4	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"8 times followed by the SECOND sound, twice not followed by any sound"	0	"Always followed by the FIRST sound"	"Always followed by the SECOND sound"	1	"LAUGH"	"SCREAM"
"107"	373	-3	1	9	5	6	1	7	9	-4	4	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I did not directly use the sound, to me almost immediately MORAG took on its own meaning synonymous with GOOD or BAD, which ever it was on the same side as."	"I did not directly use the sound, to me almost immediately STRUAN took on its own meaning synonymous with GOOD or BAD, which ever it was on the same side as."
"108"	376	-5	8	3	7	1	9	9	9	-5	5	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"bad"	"good"
"109"	379	0	5	5	0	5	9	8	8	0	0	3	1	2	1	"9 times followed by the FIRST sound, once not followed by any sound"	"8 times followed by the SECOND sound, twice not followed by any sound"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Twice followed by the SECOND sound, 8 times not followed by any sound"	0	"laugh - happy"	"scream - sad "
"110"	380	10	8	1	10	1	9	9	9	-5	5	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I tried to pair struan with scream."	"I tried to pair Morag with laughter."
"111"	383	-3	7	3	0	2	8	7	6	-4	-3	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"i didnt do this"	"i didnt do this"
"112"	385	2	1	9	0	8	1	5	4	-4	-1	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Sorry I dont understand the question"	"I dont understand"
"113"	388	0	3	1	0	1	9	8	9	0	3	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"i thought it was a bird but i didn't use the sound to link it i just read what was on the screen"	"i thought it was a baby laguhing but i didn't use the sound to link it i just read what was on the screen"
"114"	389	5	1	9	0	7	2	8	8	0	1	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"i did not refer any word "	"i did not refer any word to struan"
"115"	398	0	1	8	-1	2	8	3	2	-4	0	6	2	1	2	"I don't remember"	"I don't remember"	0	"Always followed by the UNPLEASANT sound"	"I don't remember"	0	"Negative "	"Positive "
"116"	406	0	3	1	2	1	1	8	8	-5	3	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I did not do this"	"I did not do this"
"117"	417	3	9	9	0	8	1	9	9	-4	2	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Bad"	"Good"
"118"	425	5	2	9	5	7	1	7	7	-3	1	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"morag is the non-word foolowed by the screaming sound"	"straun is the non-word foolowed by the baby sound"
"119"	426	0	5	5	3	6	6	8	7	-4	4	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"sad"	"happy"
"120"	430	0	1	9	0	5	7	9	8	-3	0	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"unpleasant, sad, sick, terrible, horrible"	"amazing, happy"
"121"	433	0	2	9	0	7	2	9	7	-5	5	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Twice followed by the SECOND sound, 8 times not followed by any sound"	0	"Never followed by the FIRST sound"	"Never followed by the SECOND sound"	0	"This changed through the study, it was more that Morag I visually perceived to the left of the screen, and then when it reversed, I changed that perception, which I found challenging to be flexible with. Morag seemed to be good/wonderful, even though this changed"	"Struan I visually perceived to the right. Struan seemed to be bad or disgusting, even though this swapped around."
"122"	442	0	1	9	5	1	5	7	6	-5	5	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didn't use any words really I just remembered them for what they were, Morag reminded me of some children's books I have taught as it was the surname of a character"	"I didn't use any words really I just remembered them for what they were, Struay reminded me of some children's books I have taught as it was similar to the place name Struay in the books."
"123"	449	0	5	5	0	7	2	7	8	-5	-5	1	1	1	1	"I don't remember"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I just took a second to think."	"I just took a second to think."
"124"	451	0	1	1	0	5	5	3	4	-1	3	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I just used the word STRUAN.  "	"I just used the word MORAG."
"125"	453	2	9	5	0	8	2	5	4	-2	1	5	1	1	2	"Never followed by the UNPLEASANT sound"	"Twice followed by the PLEASANT sound, 8 times not followed by any sound"	0	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Unpleasant"	"Pleasant"
"126"	467	-2	8	1	2	1	9	8	9	-4	4	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"child's piercing shriek"	"infant's laughter"
"127"	470	-5	3	6	4	4	4	7	7	-1	3	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Positive "	"Negative "
"128"	474	10	1	1	10	7	1	9	9	-5	3	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"bad , nasty "	"happy, cheerful"
"129"	476	0	6	3	0	5	5	7	7	-3	3	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Once followed by the SECOND sound, 9 times not followed by any sound"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Twice followed by the SECOND sound, 8 times not followed by any sound"	0	"bad because it was a scream"	"good as it was a babys innocent laugh"
"130"	478	0	1	6	-3	7	1	6	7	-4	2	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Twice followed by the PLEASANT sound, 8 times not followed by any sound"	0	"bad, scary"	"happy"
"131"	479	0	7	2	0	1	9	9	9	-5	4	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"N/A   "	"N/A"
"132"	481	0	1	9	-1	5	1	7	5	-5	2	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"8 times followed by the SECOND sound, twice not followed by any sound"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"good "	"bad"
"133"	490	0	1	9	0	8	1	4	6	-5	5	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"There were no sounds at all when categorising the words.  I completely ignored the earlier sounds and categorised the words accordingly to what I saw on each screen."	"Neither"
"134"	494	-2	5	5	0	1	1	7	7	-5	3	6	2	1	2	"Always followed by the UNPLEASANT sound"	"I don't remember"	0	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"awful disgusting"	"nice pleasant"
"136"	513	0	5	5	0	5	5	4	4	-3	-2	1	1	1	1	"I don't remember"	"I don't remember"	0	"I don't remember"	"Always followed by the SECOND sound"	1	"beep"	"siren"
"137"	517	9	1	9	-5	7	1	9	9	-5	3	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"A child screaming."	"A baby laughing."
"138"	521	-10	1	1	1	9	9	0	9	-4	3	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"There were no sounds only words"	"Good or bad"
"139"	524	0	8	9	0	1	9	9	8	-5	5	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"nasty"	"nice"
"140"	525	-1	1	1	8	5	5	9	9	-4	0	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I Thought of Morag as pleasant, despite that it was supposed to be paired with the unpleasant sound."	"I thought of Struan, mostly as unpleasant, until the end of inquisit task, when they switched."
"141"	529	0	1	9	0	8	1	9	8	-5	3	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"SCREAM"	"LAUGH"
"142"	530	0	8	5	0	5	5	6	7	-5	5	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"none"	"none"
"143"	531	-3	2	7	5	1	3	5	6	-5	4	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Never followed by the FIRST sound"	"Never followed by the SECOND sound"	0	"I referred to colours more than sounds"	"I referred to colours more than sounds"
"144"	534	0	1	1	0	7	1	7	9	-4	0	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I did not use a word   "	"I did not use a word"
"145"	538	0	1	7	0	8	1	6	8	-4	-1	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didn't"	"I didn't"
"146"	548	9	6	4	-4	4	6	9	9	-5	4	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"good, positive,laugh and bad,negative cry"	"bad, negative,cry and good, positive,laugh"
"147"	549	4	1	9	0	9	1	9	9	-5	-1	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I didn't link the words with the sounds in the categorisation task"	"I didn't link the words with the sounds in the categorisation task"
"148"	550	5	1	9	-5	7	1	9	9	-5	3	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Drill, scream."	"Laughter."
"149"	556	0	9	1	0	1	9	8	9	-5	2	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I did not use any words, I just read each word out loud and linked quickly by saying good or bad"	"I did not use any words, I just read each word out loud and linked quickly by saying good or bad"
"150"	557	10	1	9	-10	8	1	0	9	-5	5	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"scream"	"laugh"
"151"	558	8	1	9	-3	8	1	9	9	-5	5	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I didn't use any words.  I treated MORAG and the postive/negative words as two completely separate things to sort."	"I didn't use any words.  I treated STRAUN and the postive/negative words as two completely separate things to sort."
"152"	563	-5	7	1	3	1	9	7	8	-4	2	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"When it was the negative response I thought \"STRUAN bad\" and when positive I thought \"STRUAN good\""	"When it was the positive response I though \"MORAG is good\" and when negative I thought \"MORAG is bad\""
"153"	578	0	5	1	-4	9	9	7	7	-5	5	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Scream  "	"Laughing"
"154"	579	7	7	4	7	2	8	7	7	-4	2	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"a scream"	"baby laughing"
"155"	581	-10	5	5	-6	5	7	4	8	-5	-2	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"I don't remember"	0	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"unpleasant,bad, awful"	"fantastic,great"
"156"	583	-3	7	1	0	2	8	6	6	-5	3	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Scream"	"Giggle"
"157"	587	0	9	9	0	9	1	8	8	-5	3	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Never followed by the SECOND sound"	0	"Always followed by the FIRST sound"	"8 times followed by the SECOND sound, twice not followed by any sound"	0	"none"	"none"
"158"	591	0	1	1	5	5	5	5	6	-4	5	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"screeching"	"marvellous"
"159"	592	0	7	6	0	7	5	9	9	-4	3	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"screaming woman "	"baby laughing"
"160"	593	-7	4	5	-10	5	5	4	5	-5	5	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"The sound linked with Morag was a screaming woman. Morag was connected with positive words and this alternated later in the tests."	"Straun was linked with a laughing child. Straun was connected with negative words early in the test then alternated later in the test"
"161"	609	0	1	1	0	7	1	9	9	-5	5	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"scream"	"happy"
"162"	610	0	1	9	0	7	1	7	6	-5	4	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"none"	"none"
"163"	617	3	3	8	-5	3	8	7	8	-5	2	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I did not use the sound. I said bad/good in my head depending on which side it was. "	"I did not use the sound. I said bad/good in my head depending on which side it was. "
"164"	625	7	1	9	-10	9	1	3	9	-5	4	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"8 times followed by the SECOND sound, twice not followed by any sound"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"When thinking of morag it was easier to pair it with the negative words because i associated it with a negative sound."	"With Sturan it was easier to pair the positive words because i associated it with a positive sound."
"165"	632	0	7	1	0	7	1	5	9	-5	5	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Depending on whether STRUAN was categorised with the good or bad words, I repeated the word good or bad to myself when STRUAN appeared on screen. I can't say I paired the word with the actual sound."	"Same as above. "
"166"	637	0	1	9	0	8	2	9	9	-5	3	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"scream"	"baby"
"167"	640	0	8	1	0	1	9	8	8	-4	1	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"None "	"None"
"168"	641	-1	5	5	-1	5	5	0	0	-5	3	1	1	1	1	"I don't remember"	"I don't remember"	0	"I don't remember"	"I don't remember"	0	"Positive - kind farmers wife Negative - harsh"	"Positive - flows Negative - strewn everywhere"
"169"	644	0	9	2	4	9	1	7	7	-5	3	4	2	2	1	"Twice followed by the FIRST sound, 8 times not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"no"	"happy"
"170"	654	3	5	7	-4	5	1	9	9	-5	1	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I didn't associate MORAG with any non-word sounds, but did pretty much \"say\" the word MORAG in my head everytime I saw it on screen, kind of as a way to confirm whether it was MORAG or STRUAN before hitting the button."	"Same with STRUAN - I would \"say\" the word in my head everytime I saw it as a confirmation before hitting either the \"e\" or \"i\" key it was associated with."
"171"	659	5	1	1	6	5	5	7	7	-5	5	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Struan - sounds like Shaun - is a bad (negative) man."	"Morag (a lady's name) is a nice (positive) lady."
"172"	675	4	7	4	0	6	6	7	7	0	0	3	1	2	1	"Twice followed by the FIRST sound, 8 times not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I checked if the words were either positive or neative in meaning."	"I checked if the words were either positive or neative in meaning."
"173"	680	0	7	2	0	1	1	8	9	0	0	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Good and bad."	"I used two words. Good and bad."
"174"	693	4	1	9	7	7	3	6	9	-5	2	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"n/a "	"n/a"
"175"	701	8	1	9	-6	7	8	2	8	-4	3	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Nad or good"	"Bad or good"
"176"	704	0	5	6	0	5	6	0	0	0	0	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Never followed by the PLEASANT sound"	0	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"good bad nasty"	"nice nasty"
"177"	707	0	5	5	0	1	6	5	5	0	0	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"STRUAN is the non-word followed by the sound of a laughing baby "	"MORAG is the non-word followered by the sound of a screaming girl"
"178"	711	2	8	2	-3	1	9	9	8	-5	-1	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"scream"	"happy"
"179"	713	10	1	9	4	9	1	9	9	-5	5	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"morag would have been negative words"	"straun would have been the good words "
