"subject"	"IAT1"	"IAT1_odd"	"IAT1_even"	"IAT1_block1"	"Liking_2"	"Expect_2neg"	"Expect_2pos"	"Liking_1"	"Expect_1neg"	"Expect_1pos"	"instructionclarity"	"instructionbelief"	"US1val"	"US2val"	"Group"	"IATorder"	"CSneg"	"valence"	"memory1_response"	"memory2_response"	"concorr"	"memory1_2_response"	"memory2_2_response"	"concorr2"	"expl1_response"	"expl2_response"	"lat_comp"	"lat_incomp"	"exp_neg_CSneg"	"exp_neg_CSpos"	"exp_pos_CSneg"	"exp_pos_CSpos"	"ExpNegDiff"	"ExpPosDiff"	"Liking1_CSneg"	"Liking1_CSpos"
"65"	263	0.6135	0.7021	0.4759	"compatibletest1"	0	2	2	0	5	5	8	9	-5	4	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Not applicable. "	"Not applicable."	654.85	775.866666666667	2	5	2	5	-3	3	0	0
"66"	267	0.5261	0.6908	0.2297	"compatibletest1"	0	3	1	0	3	8	7	5	-4	2	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didn't use a word to refer to the sound"	"I didn't use a word to refer to the sound"	630.283333333333	756.016666666667	3	3	1	8	0	7	0	0
"67"	269	0.3706	0.9015	0.2471	"compatibletest1"	0	1	3	3	6	1	8	8	-3	-3	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Scream"	"Evil laugh"	720.266666666667	985.683333333333	6	1	1	3	5	2	3	0
"68"	271	0.2083	0.2011	0.4	"compatibletest1"	0	8	2	0	1	9	0	9	-5	-1	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"scream"	"laugh"	777.266666666667	859.866666666667	8	1	2	9	7	7	0	0
"69"	274	-0.2536	0.214	0.2776	"incompatibletest1"	3	1	9	-5	8	1	8	9	-5	5	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"screaming, danger, petrified"	"happy laughing baby"	695.383333333333	646.383333333333	8	1	1	9	7	8	-5	3
"70"	278	-0.0853	-0.0872	0.2564	"incompatibletest1"	0	1	9	0	8	1	0	2	2	3	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"none"	"none"	769.416666666667	745.7	8	1	1	9	7	8	0	0
"71"	286	0.0736	-0.0494	-0.0812	"incompatibletest1"	-2	8	9	-9	6	2	8	6	0	4	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I remembered where either category was and worked with that"	"I remembered where each category was and classified accordingly"	1012.2	1008.68333333333	6	8	2	9	-2	7	-9	-2
"72"	290	-0.3013	0.1759	0.4062	"incompatibletest1"	0	1	9	0	8	1	9	9	-5	4	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"screaming"	"laughing"	733.25	669.533333333333	8	1	1	9	7	8	0	0
"73"	291	-0.0694	0.0186	-0.1776	"compatibletest1"	0	5	5	0	5	5	0	5	-5	5	3	1	2	1	"Never followed by the FIRST sound"	"Never followed by the SECOND sound"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"8 times followed by the SECOND sound, twice not followed by any sound"	0	"Either good or bad"	"Either good or bad "	827.716666666667	824.566666666667	5	5	5	5	0	0	0	0
"74"	292	-0.2301	0.1275	0.3598	"incompatibletest1"	7	8	1	1	1	9	3	7	-4	3	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I just thought about the words good and bad depending on the classification and said it in my head after STRUAN e.g. struan good or struan bad so that I knew what needed to go with it."	"I just thought about the words good and bad depending on the classification and said it in my head after MORAG e.g. morag good or morag bad so that I knew what needed to go with it."	753.75	699.133333333333	8	1	1	9	7	8	7	1
"75"	294	-0.0133	-0.2122	0.2383	"incompatibletest1"	0	1	5	0	5	5	7	8	-5	2	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Negative responses "	"Positive responses"	850.75	825.233333333333	5	1	5	5	4	0	0	0
"76"	297	0.6231	0.6897	0.6529	"compatibletest1"	0	5	5	0	7	8	7	6	-3	1	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didn't link the non-words to another word or sound"	"I didn't link the non-words to another word or sound"	657.55	766.65	7	5	8	5	2	-3	0	0
"77"	298	-0.4018	0.5279	0.2845	"incompatibletest1"	0	5	5	0	1	1	7	8	-4	2	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Twice followed by the SECOND sound, 8 times not followed by any sound"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"i did not associate words"	"i did not associate words "	875.266666666667	767.25	1	5	1	5	-4	4	0	0
"78"	299	0.0954	-0.0989	0.2973	"compatibletest1"	0	3	2	0	7	2	8	9	-5	4	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Scream, scary, bad, negative, etc."	"Laugh, happy, positive, light, baby"	805.983333333333	832.6	3	7	2	2	-4	0	0	0
"79"	300	-0.3168	0.3091	0.2638	"incompatibletest1"	-1	7	1	0	1	9	5	8	1	2	4	2	2	1	"I don't remember"	"I don't remember"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I memorised the new word and taught myself to associate it with the good/bad pairing"	" I memorised the new word and taught myself to associate it with the good/bad pairing"	793.45	707.283333333333	7	1	1	9	6	8	-1	0
"80"	302	-0.6591	0.4439	0.9801	"incompatibletest1"	0	7	3	1	8	2	8	8	-5	2	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I didn't link the sound, i switched the word association from bad to good as needed"	"I didn't link the sound, i switched the word association from bad to good as needed"	699.066666666667	592.95	8	7	2	3	1	1	1	0
"81"	304	-0.4014	0.2615	0.6276	"incompatibletest1"	0	5	5	0	5	5	8	5	-3	0	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Good and bad"	"Good and bad"	913.85	797.433333333333	5	5	5	5	0	0	0	0
"82"	314	-0.2672	0.3811	0.1586	"incompatibletest1"	-7	7	3	-5	2	1	4	7	-4	-2	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"9 times followed by the FIRST sound, once not followed by any sound"	"Always followed by the SECOND sound"	1	"cant imagine "	"not sure"	879.05	801.416666666667	2	7	1	3	-5	2	-5	-7
"83"	317	0.7564	0.7866	0.7922	"compatibletest1"	0	1	9	0	5	1	7	7	-4	2	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"bad"	"nice, good"	546.183333333333	706.883333333333	5	1	1	9	4	8	0	0
"84"	319	-0.5935	-0.4624	-0.723	"compatibletest1"	3	8	2	-3	8	9	9	8	-4	4	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Struan - Shit - Negative"	"Morag - Mother - Positive"	986.7	763.666666666667	8	8	2	9	0	7	3	-3
"85"	320	0.2479	-0.1685	-0.4886	"incompatibletest1"	0	5	5	7	5	5	5	9	-5	5	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Amazing, Nice Awful, Terrible"	"Good, great Bad, Disgusting"	653.216666666667	693.916666666667	5	5	5	5	0	0	0	7
"86"	324	-0.7617	0.632	0.9839	"incompatibletest1"	0	7	1	0	1	9	5	9	-4	2	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didn't even read the word, I tried to keep saying in my head S is bad or S is good based off of what was required. This way I could speed up my response without having the read the word. "	"I didn't read the word or associsate the sound with a word. I kept looking at the first letter only and told myself M is bad or M is good based off of what was required. "	999.3	722.516666666667	7	1	1	9	6	8	0	0
"87"	326	0.2063	-0.2818	-0.1313	"incompatibletest1"	6	1	9	3	5	5	8	7	-4	1	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"screaming woman"	"happy sound"	593.25	634.783333333333	5	1	5	9	4	4	3	6
"88"	327	0.2318	0.3306	0.3189	"compatibletest1"	-8	8	1	-5	1	9	8	9	0	0	7	1	2	2	"Never followed by the UNPLEASANT sound"	"Never followed by the PLEASANT sound"	0	"Never followed by the UNPLEASANT sound"	"8 times followed by the PLEASANT sound, twice not followed by any sound"	0	"I did not think of anything"	"As above"	737.666666666667	793.7	8	1	1	9	7	8	-8	-5
"89"	333	0.3466	0.2763	0.4857	"compatibletest1"	0	5	5	5	9	3	7	9	-5	1	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"bad scream"	"loud laugh"	635.983333333333	848.65	9	5	3	5	4	2	5	0
"90"	334	0.7775	-0.5949	-1.0537	"incompatibletest1"	5	1	9	0	7	2	1	7	-2	2	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"MORAG with morning as a positive and moody as a negative"	"STRUAN with satan as a negative and sunny as a positive"	551.633333333333	748.066666666667	7	1	2	9	6	7	0	5
"91"	336	0.6266	-0.5007	-0.7421	"incompatibletest1"	0	8	2	3	1	9	8	6	-5	3	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"There were no sounds during the experiment"	"No sounds were presented during the experiment"	704.866666666667	865.233333333333	8	1	2	9	7	7	0	3
"92"	338	-0.3737	0.3496	0.3954	"incompatibletest1"	10	1	9	6	7	1	9	9	-5	5	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"M BAD"	"S GOOD"	744.033333333333	666.3	7	1	1	9	6	8	6	10
"93"	340	0.3953	-0.3211	-0.5154	"incompatibletest1"	0	9	6	0	5	6	2	6	-2	2	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"didn't do this  "	"morag is a girls name, not a non-word"	840.633333333333	935.7	9	5	6	6	4	0	0	0
"94"	341	0.4567	0.6044	0.2608	"compatibletest1"	-3	5	7	0	3	3	7	4	0	2	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Twice followed by the PLEASANT sound, 8 times not followed by any sound"	0	"7 times followed by the UNPLEASANT sound, 3 times not followed by any sound"	"Always followed by the PLEASANT sound"	1	"words like amazing and happy i thought about something you would find in life which make you feel good"	"sad and sick which in life if you feel either f them you feel bad "	716	810.8	3	5	3	7	-2	4	0	-3
"95"	347	0.5319	0.7836	0.1616	"compatibletest1"	4	8	2	-1	7	1	6	6	-5	0	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"I don't remember"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Scream"	"Laugh"	841.7	978.633333333333	8	7	2	1	1	-1	4	-1
"96"	348	0.237	-0.2187	-0.2122	"incompatibletest1"	-4	3	6	0	4	7	8	9	-3	2	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Sad"	"Happy"	814.283333333333	876.433333333333	3	4	6	7	-1	1	-4	0
"97"	351	0.0761	0.0794	0.1072	"compatibletest1"	-1	6	6	2	5	5	7	8	-5	1	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"fearful scream"	"baby making happy noises"	719.016666666667	708.066666666667	6	5	6	5	1	-1	-1	2
"98"	357	0.4078	0.3309	0.4962	"compatibletest1"	8	1	9	-6	8	2	8	8	-5	4	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I did not"	"I did not"	666.7	759.166666666667	8	1	2	9	7	7	-6	8
"99"	359	0.9905	1.1121	0.8202	"compatibletest1"	0	5	5	7	1	5	5	4	-5	1	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Never followed by the PLEASANT sound"	0	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Never followed by the PLEASANT sound"	0	"women or childed screm"	"baby"	751.033333333333	1176.66666666667	5	1	5	5	4	0	0	7
"100"	364	-1.0725	0.9862	1.3292	"incompatibletest1"	8	8	4	3	8	6	2	3	-2	-1	4	2	2	1	"Twice followed by the FIRST sound, 8 times not followed by any sound"	"Never followed by the SECOND sound"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"N/A"	"N/A"	902.85	637.716666666667	8	8	4	6	0	2	8	3
"101"	372	-0.8852	0.7038	1.2328	"incompatibletest1"	3	8	5	1	4	4	3	3	0	4	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"8 times followed by the SECOND sound, twice not followed by any sound"	0	"Always followed by the FIRST sound"	"Always followed by the SECOND sound"	1	"LAUGH"	"SCREAM"	1140.91666666667	767.75	8	4	5	4	4	-1	3	1
"102"	373	0.0438	0.2307	-0.0854	"compatibletest1"	-3	1	9	5	6	1	7	9	-4	4	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I did not directly use the sound, to me almost immediately MORAG took on its own meaning synonymous with GOOD or BAD, which ever it was on the same side as."	"I did not directly use the sound, to me almost immediately STRUAN took on its own meaning synonymous with GOOD or BAD, which ever it was on the same side as."	797.15	806.55	6	1	1	9	5	8	5	-3
"103"	376	-0.9697	1.0166	0.9652	"incompatibletest1"	-5	8	3	7	1	9	9	9	-5	5	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"bad"	"good"	961.333333333333	682.35	8	1	3	9	7	6	-5	7
"104"	379	0.8529	0.6799	1.0273	"compatibletest1"	0	5	5	0	5	9	8	8	0	0	3	1	2	1	"9 times followed by the FIRST sound, once not followed by any sound"	"8 times followed by the SECOND sound, twice not followed by any sound"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Twice followed by the SECOND sound, 8 times not followed by any sound"	0	"laugh - happy"	"scream - sad "	751.833333333333	1008.03333333333	5	5	5	9	0	4	0	0
"105"	380	-0.5026	0.6514	0.4021	"incompatibletest1"	10	8	1	10	1	9	9	9	-5	5	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I tried to pair struan with scream."	"I tried to pair Morag with laughter."	792.883333333333	701.033333333333	8	1	1	9	7	8	10	10
"106"	383	0.4572	0.5888	0.2944	"compatibletest1"	-3	7	3	0	2	8	7	6	-4	-3	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"i didnt do this"	"i didnt do this"	577.983333333333	700.416666666667	7	2	3	8	5	5	-3	0
"107"	385	1.0298	1.0424	1.0246	"compatibletest1"	2	1	9	0	8	1	5	4	-4	-1	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Sorry I dont understand the question"	"I dont understand"	626.233333333333	941.083333333333	8	1	1	9	7	8	0	2
"108"	388	-0.4817	0.3846	0.5951	"incompatibletest1"	0	3	1	0	1	9	8	9	0	3	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"i thought it was a bird but i didn't use the sound to link it i just read what was on the screen"	"i thought it was a baby laguhing but i didn't use the sound to link it i just read what was on the screen"	753.033333333333	627.4	3	1	1	9	2	8	0	0
"110"	398	-0.3593	0.4377	0.2683	"incompatibletest1"	0	1	8	-1	2	8	3	2	-4	0	6	2	1	2	"I don't remember"	"I don't remember"	0	"Always followed by the UNPLEASANT sound"	"I don't remember"	0	"Negative "	"Positive "	935.666666666667	781.166666666667	2	1	8	8	1	0	-1	0
"111"	406	-0.5318	0.8476	0.4097	"incompatibletest1"	0	3	1	2	1	1	8	8	-5	3	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I did not do this"	"I did not do this"	934.683333333333	710.983333333333	1	3	1	1	-2	0	2	0
"112"	417	0.2671	0.3135	0.1889	"compatibletest1"	3	9	9	0	8	1	9	9	-4	2	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Bad"	"Good"	665.683333333333	718.866666666667	8	9	1	9	-1	8	0	3
"113"	425	0.0359	0.1283	-0.1104	"compatibletest1"	5	2	9	5	7	1	7	7	-3	1	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"morag is the non-word foolowed by the screaming sound"	"straun is the non-word foolowed by the baby sound"	689.483333333333	744	7	2	1	9	5	8	5	5
"114"	426	-0.6789	0.6787	0.8361	"incompatibletest1"	0	5	5	3	6	6	8	7	-4	4	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"sad"	"happy"	1233.96666666667	854.116666666667	6	5	6	5	1	-1	3	0
"115"	430	-0.7777	0.7552	0.9063	"incompatibletest1"	0	1	9	0	5	7	9	8	-3	0	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"unpleasant, sad, sick, terrible, horrible"	"amazing, happy"	715.6	586.916666666667	5	1	7	9	4	2	0	0
"116"	433	0.4749	0.6805	0.3621	"compatibletest1"	0	2	9	0	7	2	9	7	-5	5	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Twice followed by the SECOND sound, 8 times not followed by any sound"	0	"Never followed by the FIRST sound"	"Never followed by the SECOND sound"	0	"This changed through the study, it was more that Morag I visually perceived to the left of the screen, and then when it reversed, I changed that perception, which I found challenging to be flexible with. Morag seemed to be good/wonderful, even though this changed"	"Struan I visually perceived to the right. Struan seemed to be bad or disgusting, even though this swapped around."	717.516666666667	905.766666666667	7	2	2	9	5	7	0	0
"117"	442	0.4166	-0.4045	-0.4008	"incompatibletest1"	0	1	9	5	1	5	7	6	-5	5	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didn't use any words really I just remembered them for what they were, Morag reminded me of some children's books I have taught as it was the surname of a character"	"I didn't use any words really I just remembered them for what they were, Struay reminded me of some children's books I have taught as it was similar to the place name Struay in the books."	690.433333333333	768.583333333333	1	1	5	9	0	4	5	0
"118"	449	0.0293	-0.0412	0.2061	"compatibletest1"	0	5	5	0	7	2	7	8	-5	-5	1	1	1	1	"I don't remember"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I just took a second to think."	"I just took a second to think."	949.433333333333	1202.75	7	5	2	5	2	3	0	0
"119"	451	0.1996	0.3605	0.0147	"compatibletest1"	0	1	1	0	5	5	3	4	-1	3	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I just used the word STRUAN.  "	"I just used the word MORAG."	811	873.95	1	5	1	5	-4	4	0	0
"120"	453	-0.3628	0.1706	-0.9404	"compatibletest1"	2	9	5	0	8	2	5	4	-2	1	5	1	1	2	"Never followed by the UNPLEASANT sound"	"Twice followed by the PLEASANT sound, 8 times not followed by any sound"	0	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Unpleasant"	"Pleasant"	834.05	739.616666666667	8	9	2	5	-1	3	0	2
"121"	467	0.0947	0.0346	0.0616	"compatibletest1"	-2	8	1	2	1	9	8	9	-4	4	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"child's piercing shriek"	"infant's laughter"	668.933333333333	747.75	8	1	1	9	7	8	-2	2
"122"	470	-0.7916	0.8751	0.7968	"incompatibletest1"	-5	3	6	4	4	4	7	7	-1	3	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Positive "	"Negative "	1020.23333333333	704.983333333333	4	3	4	6	1	2	4	-5
"123"	474	0.2614	-0.2302	-0.299	"incompatibletest1"	10	1	1	10	7	1	9	9	-5	3	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"bad , nasty "	"happy, cheerful"	724.416666666667	795.3	7	1	1	1	6	0	10	10
"124"	476	-0.3397	0.2806	0.4067	"incompatibletest1"	0	6	3	0	5	5	7	7	-3	3	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Once followed by the SECOND sound, 9 times not followed by any sound"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Twice followed by the SECOND sound, 8 times not followed by any sound"	0	"bad because it was a scream"	"good as it was a babys innocent laugh"	870.016666666667	758.866666666667	6	5	3	5	1	2	0	0
"125"	478	-0.6521	1.0269	0.089	"incompatibletest1"	0	1	6	-3	7	1	6	7	-4	2	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Twice followed by the PLEASANT sound, 8 times not followed by any sound"	0	"bad, scary"	"happy"	817.883333333333	646.1	7	1	1	6	6	5	-3	0
"126"	479	0.6544	0.8215	0.5733	"compatibletest1"	0	7	2	0	1	9	9	9	-5	4	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"N/A   "	"N/A"	705.883333333333	871.133333333333	7	1	2	9	6	7	0	0
"127"	481	0.4451	0.6243	0.368	"compatibletest1"	0	1	9	-1	5	1	7	5	-5	2	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"8 times followed by the SECOND sound, twice not followed by any sound"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"good "	"bad"	889.55	1091.23333333333	5	1	1	9	4	8	-1	0
"128"	490	-0.1281	-0.1079	0.4289	"incompatibletest1"	0	1	9	0	8	1	4	6	-5	5	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"There were no sounds at all when categorising the words.  I completely ignored the earlier sounds and categorised the words accordingly to what I saw on each screen."	"Neither"	1359.6	1302.68333333333	8	1	1	9	7	8	0	0
"129"	494	0.3129	-0.1956	-0.3859	"incompatibletest1"	-2	5	5	0	1	1	7	7	-5	3	6	2	1	2	"Always followed by the UNPLEASANT sound"	"I don't remember"	0	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"awful disgusting"	"nice pleasant"	705.133333333333	820.25	1	5	1	5	-4	4	0	-2
"130"	517	-0.1706	-0.2452	-0.0926	"compatibletest1"	9	1	9	-5	7	1	9	9	-5	3	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"A child screaming."	"A baby laughing."	902.483333333333	836.016666666667	7	1	1	9	6	8	-5	9
